行业,股票代码,股票名称
磁性材料,000795.SZ,英洛华
磁性材料,000970.SZ,中科三环
磁性材料,300127.SZ,银河磁体
磁性材料,300224.SZ,正海磁材
磁性材料,300748.SZ,金力永磁
磁性材料,300811.SZ,铂科新材
磁性材料,300835.SZ,龙磁科技
磁性材料,301141.SZ,中科磁业
磁性材料,301323.SZ,新莱福
磁性材料,301622.SZ,英思特
磁性材料,600366.SH,宁波韵升
磁性材料,603072.SH,天和磁材
磁性材料,688077.SH,大地熊
磁性材料,688786.SH,悦安新材
锦纶,000782.SZ,恒申新材
锦纶,600810.SH,神马股份
锦纶,601113.SH,华鼎股份
锦纶,603382.SH,海阳科技
锦纶,605166.SH,聚合顺
锦纶,301565.SZ,中仑新材
粘胶,000420.SZ,吉林化纤
粘胶,000677.SZ,恒天海龙
粘胶,000949.SZ,新乡化纤
粘胶,600889.SH,南京化纤
合成树脂,001333.SZ,光华股份
合成树脂,002361.SZ,神剑股份
合成树脂,300487.SZ,蓝晓科技
合成树脂,301092.SZ,争光股份
合成树脂,301395.SZ,仁信新材
合成树脂,301555.SZ,惠柏新材
合成树脂,601026.SH,道生天合
合成树脂,603879.SH,永悦科技
合成树脂,603928.SH,兴业股份
合成树脂,605589.SH,圣泉集团
合成树脂,688585.SH,上纬新材
合成树脂,688716.SH,中研股份
合成树脂,300834.SZ,星辉环材
合成树脂,688203.SH,海正生材
改性塑料,002324.SZ,普利特
改性塑料,002768.SZ,国恩股份
改性塑料,002838.SZ,道恩股份
改性塑料,002886.SZ,沃特股份
改性塑料,300221.SZ,银禧科技
改性塑料,300478.SZ,杭州高新
改性塑料,300538.SZ,同益股份
改性塑料,300586.SZ,美联新材
改性塑料,300644.SZ,南京聚隆
改性塑料,300995.SZ,奇德新材
改性塑料,301003.SZ,江苏博云
改性塑料,301131.SZ,聚赛龙
改性塑料,600143.SH,金发科技
改性塑料,688219.SH,会通股份
改性塑料,688669.SH,聚石化学
改性塑料,920066.BJ,科拜尔
改性塑料,920089.BJ,禾昌聚合
改性塑料,920469.BJ,富恒新材
模塑料,000859.SZ,国风新材
模塑料,000920.SZ,沃顿科技
模塑料,000973.SZ,佛塑科技
模塑料,001255.SZ,博菲电气
模塑料,001359.SZ,平安电工
模塑料,001378.SZ,德冠新材
模塑料,002263.SZ,大东南
模塑料,002395.SZ,双象股份
模塑料,002522.SZ,浙江众成
模塑料,002585.SZ,双星新材
模塑料,002632.SZ,道明光学
模塑料,300305.SZ,裕兴股份
模塑料,300806.SZ,斯迪克
模塑料,301237.SZ,和顺科技
模塑料,301538.SZ,骏鼎达
模塑料,301687.SZ,新广益
模塑料,600135.SH,乐凯胶片
模塑料,601208.SH,东材科技
模塑料,605488.SH,福莱新材
模塑料,688323.SH,瑞华泰
模塑料,688386.SH,泛亚微透
模塑料,688718.SH,唯赛勃
涤纶,000936.SZ,华西股份
涤纶,002206.SZ,海利得
涤纶,002427.SZ,尤夫股份
涤纶,002998.SZ,优彩资源
涤纶,301057.SZ,汇隆新材
涤纶,600370.SH,三房巷
涤纶,603073.SH,彩蝶实业
涤纶,603225.SH,新凤鸣
涤纶,603332.SH,苏州龙杰
涤纶,603406.SH,天富龙
粘胶剂和胶带,002669.SZ,康达新材
粘胶剂和胶带,301283.SZ,聚胶股份
粘胶剂和胶带,603051.SH,鹿山新材
粘胶剂和胶带,603681.SH,永冠新材
粘胶剂和胶带,603683.SH,晶华新材
有机硅,002211.SZ,ST宏达
有机硅,002909.SZ,集泰股份
有机硅,300019.SZ,硅宝科技
有机硅,300041.SZ,回天新材
有机硅,300727.SZ,润禾材料
有机硅,300821.SZ,东岳硅材
有机硅,603155.SH,新亚强
有机硅,603260.SH,合盛硅业
有机硅,603281.SH,江瀚新材
有机硅,605399.SH,晨光新材
有机硅,920015.BJ,锦华新材
聚氨酯,002165.SZ,红宝丽
聚氨酯,300200.SZ,高盟新材
聚氨酯,300321.SZ,同大股份
聚氨酯,300848.SZ,美瑞新材
聚氨酯,600230.SH,沧州大化
聚氨酯,600309.SH,万华化学
聚氨酯,603041.SH,美思德
聚氨酯,603192.SH,汇得科技
聚氨酯,920261.BJ,一诺威
氟化工,002326.SZ,永太科技
氟化工,002407.SZ,多氟多
氟化工,002915.SZ,中欣氟材
氟化工,300343.SZ,ST联创
氟化工,600160.SH,巨化股份
氟化工,600378.SH,昊华科技
氟化工,603310.SH,巍华新材
氟化工,603379.SH,三美股份
氟化工,603505.SH,金石资源
氟化工,605020.SH,永和股份
